template,condition,n_turns,mentions_designated,mentions_other,chars
t0,chose,3,3,3,236
t0,yoked,1,3,3,179
t0,3p-yoked,1,3,3,174
t0,3p-random,1,3,3,174
t0,random,1,3,3,179
t1,chose,3,3,3,242
t1,yoked,1,3,3,171
t1,3p-yoked,1,3,3,182
t1,3p-random,1,3,3,182
t1,random,1,3,3,171
t2,chose,3,3,3,236
t2,yoked,1,3,3,173
t2,3p-yoked,1,3,3,176
t2,3p-random,1,3,3,176
t2,random,1,3,3,173
t3,chose,3,3,3,249
t3,yoked,1,3,3,177
t3,3p-yoked,1,3,3,196
t3,3p-random,1,3,3,196
t3,random,1,3,3,177
t4,chose,3,3,3,256
t4,yoked,1,3,3,192
t4,3p-yoked,1,3,3,201
t4,3p-random,1,3,3,201
t4,random,1,3,3,192
